Id;NeckLength;NeckSize;ShoulderHeight;ShoulderWidth;ChestMeasurement;WaistSize;ArmSize;ThighSize;CalfSize;LegLength;ArmLength;SkinColour;HeadLength;HeadWidth;HeadDepth;FaceHeight;FaceSize;UpperEyelidType;BottomEyelidType;EyeHeight;HorizontalEyePosition;IrisColour;PupilSize;UpperEyelidHt.(Inner);UpperEyelidWd.(Inner);UpperEyelidHt.(Outer);UpperEyelidWd.(Outer);InnerEyeHeight;InnerEyePosition;EyeCornerHeight;OuterEyePosition;BottomEyelidHeight;EyeDepth;Forehead;EyebrowType;EyebrowThickness;EyebrowStyle;EyebrowDensity;EyebrowColourR;EyebrowColourG;EyebrowColourB;InnerEyebrowHeight;BrowWidth;OuterEdyebrowHeight;TempleWidth;EyebrowDepth;NoseType;LaughterLines;NoseHeight;NostrilWidth;NoseWidth;NoseTipDepth;NoseDepth;UpperLipType;LowerLipType;MouthPosition;LipSize;LipWidth;MouthCornerHeight;MouthDepth;FacialHairType;FacialHairColourR;FacialHairColourG;FacialHairColourB;Thickness;CheekType;NeckLineType;Cheekbones;ChinHeight;ChinWidth;JawHeight;Jawline;ChinDepth;EarLength;EarWidth;EarAngle;Overall-Style;Overall-Length;Overall-WaveLevel;Overall-HairVariation;Font-Style;Font-Parted;Font-Hairline;Font-ForeheadWidth;Side/Back-Style;Side/Back-Cropped;HairColourR;HairColourG;HairColourB;AccessoryColour;HairColour;Accessories;Wristtaping;WristTapeColour1;WristTapeColour2;AnkleTaping;PlayerGloves;Colour;Undershorts;Sleeves;Shirttail;SockLength;Long-SleevedInners;ValueAp1;ValueAp2;ValueAp3;ValueAp4;ValueAp5;ValueAp6;ValueAp7;ValueAp8;ValueAp9;ValueAp10;ValueAp11;ValueAp12;ValueAp13;ValueAp14;ValueAp15;ValueAp16;ValueAp17;ValueAp18;ValueAp19;IdFace;Boots;Gloves;EditFace;EditHair;EditPhysique;EditStrip;ValueA
44840;0;2;-4;0;-2;-3;-2;-2;-1;4;0;4;1;1;1;0;-1;1;6;-1;3;1;0;0;-1;-2;5;-2;-4;3;-3;2;6;6;4;2;1;3;5;4;3;-1;4;-3;7;-1;1;1;-5;3;2;0;-1;2;4;2;-3;0;0;2;17;5;4;3;2;3;1;-4;2;-5;3;-7;0;-5;1;5;7;0;0;29;0;0;0;0;0;0;5;4;3;2;4;False;0;0;0;0;0;1;1;2;1;0;1;0;7;7;4;7;9;9;2;5;14;3;10;0;0;1;0;0;0;0;0;0;0;False;False;False;False;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116543;-2;0;2;0;-1;0;0;0;0;0;-1;1;3;3;3;-6;7;3;6;-6;-7;1;2;0;-7;1;5;2;3;7;-1;-7;7;2;4;0;0;3;8;5;3;-5;7;-1;-7;-7;1;3;-3;-6;6;-7;-4;2;2;3;-2;3;0;0;0;8;5;3;3;4;3;-7;4;-7;2;-5;-7;-3;4;1;1;4;1;1;3;5;1;1;4;1;18;14;10;2;2;False;0;0;0;0;0;2;0;1;1;1;0;0;2;7;0;7;7;0;7;7;7;7;7;0;0;1;0;0;0;0;0;0;0;False;False;False;False;0
101028;-1;2;1;0;-3;-3;-1;0;0;0;-2;1;3;3;3;-2;-1;3;2;2;2;2;4;3;2;3;-7;-1;-4;-2;5;-1;6;1;1;1;0;3;14;10;7;-6;-3;-5;7;-1;5;1;-1;2;-1;-3;-2;3;2;3;-1;0;0;-3;0;14;10;7;0;1;1;-4;1;-1;3;-7;-5;-4;4;3;1;3;3;0;1;2;1;1;2;1;14;10;7;2;1;False;0;0;0;0;0;2;0;0;1;0;1;0;7;7;4;7;9;9;0;5;14;3;10;0;0;1;0;1;0;0;0;0;0;False;False;False;False;0
157165;-2;0;2;0;-1;-1;0;0;-1;0;0;1;1;1;3;-2;0;3;2;0;-3;2;3;3;0;2;0;-2;3;-2;0;-4;-1;2;5;2;1;3;11;7;4;-1;0;0;0;0;2;2;2;3;0;0;0;2;2;2;0;0;0;0;0;8;5;3;3;2;3;5;-1;0;0;3;3;-4;2;3;2;4;4;1;2;1;1;2;4;1;11;7;4;2;5;False;0;0;0;0;0;2;0;0;1;0;0;0;10;7;12;7;7;7;7;7;7;7;7;0;0;1;0;0;0;0;0;0;0;False;False;False;False;0
114235;0;0;0;-2;-2;2;0;1;0;3;0;1;0;0;0;-1;5;2;5;0;-2;2;3;3;-4;-1;0;-2;0;-3;0;0;4;3;1;0;1;3;14;10;7;0;7;-6;-6;1;4;3;-2;0;6;-4;1;3;2;3;0;7;0;0;0;8;5;3;3;4;3;-4;1;2;2;1;-7;-4;-2;-2;1;3;1;1;1;2;1;2;2;1;18;14;10;2;2;False;0;0;0;0;0;1;0;0;1;0;0;0;8;7;3;7;7;8;7;7;7;7;7;0;0;1;0;0;0;0;0;0;0;False;False;False;False;0
130319;2;1;-3;1;-3;-1;0;1;1;0;1;2;1;1;1;-6;0;1;1;7;-3;1;7;-3;-3;-5;-7;-5;-2;-3;3;-4;7;1;1;1;1;2;5;4;3;-5;-5;-5;7;7;8;1;1;0;6;4;7;2;4;2;-2;4;0;6;0;8;5;3;3;5;3;7;0;2;2;4;2;-2;7;2;1;4;1;1;3;6;2;1;4;3;5;4;3;2;4;False;0;0;0;1;1;2;1;0;1;0;1;0;11;7;14;7;7;14;7;7;7;7;13;0;0;1;0;0;0;0;0;0;0;False;False;False;False;0
139679;2;-2;-3;-1;-1;-2;-1;0;-2;4;1;3;-2;2;1;1;-1;6;2;-1;1;2;0;0;0;-1;0;0;0;0;0;1;0;2;5;0;1;3;5;4;3;-1;4;0;0;0;8;2;2;1;-4;0;0;2;2;3;1;5;0;0;14;8;5;3;2;2;3;0;1;0;4;2;0;-4;1;0;1;1;1;1;1;1;1;2;1;1;8;5;3;2;6;False;0;0;0;0;0;2;0;0;1;2;1;0;9;7;7;7;7;7;7;7;7;7;7;0;0;1;0;0;0;0;0;0;0;False;False;False;False;0
123225;-2;0;2;0;-1;-1;-1;0;-1;0;0;2;2;2;2;-7;7;1;4;-5;-4;2;0;0;-7;-3;4;3;2;-2;-3;7;7;2;1;0;0;3;8;5;3;-4;-5;0;-5;-7;1;2;-1;-4;0;-7;-6;4;3;7;-2;7;-2;0;14;14;10;7;1;2;4;0;4;-3;1;-7;-7;1;-1;4;2;4;4;1;1;1;1;1;4;1;8;5;3;2;6;False;0;0;0;0;0;2;0;0;1;0;0;0;0;7;7;7;7;0;7;7;7;7;7;0;0;1;0;0;0;0;0;0;0;False;False;False;False;0
137924;-3;-1;2;0;-1;0;0;0;2;1;-1;1;2;2;2;-3;-1;3;1;-2;0;9;0;-1;-7;-1;-7;-2;-1;6;-2;0;7;1;2;0;0;3;11;7;4;0;-2;1;2;-7;1;1;0;-2;0;-7;-4;2;1;6;0;0;-3;0;0;8;5;3;3;2;1;0;1;-7;-4;3;-7;0;2;3;2;3;1;1;2;3;1;2;4;2;15;8;4;2;8;False;0;1;1;0;0;1;1;0;1;2;2;0;10;7;7;7;7;0;7;7;7;7;7;0;0;1;0;0;0;0;0;0;0;False;False;False;False;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
