Id;Name;JapName;Shirt;ShirtNational;Commentary;Country;Country2;Height;Weight;Age;Foot;PlayingStyle;POS;GK;CB;LB;RB;DMF;CMF;LMF;RMF;AMF;LWF;RWF;SS;CF;OffensiveAwareness;BallControl;Dribbling;TightPossession;LowPass;LoftedPass;Finishing;Heading;PlaceKicking;Curl;Speed;Acceleration;KickingPower;Jump;PhysicalContact;Balance;Stamina;DefensiveAwareness;BallWinning;Aggression;GKAwareness;GKCatching;GKClearing;GKReflexes;GKReach;WeakFootUsage;WeakFootAcc;Form;InjuryResistance;Reputation;PlayingAttitude;Trickster;MazingRun;SpeedingBullet;IncisiveRun;LongBallExpert;EarlyCross;LongRanger;ScissorsFeint;DoubleTouch;FlipFlap;MarseilleTurn;Sombrero;CrossOverTurn;CutBehindAndTurn;ScotchMove;StepOnSkillcontrol;HeadingSpecial;LongRangeDrive;Chipshotcontrol;LongRangeShot;KnuckleShot;DippingShots;RisingShots;AcrobaticFinishing;HeelTrick;FirstTimeShot;OneTouchPass;ThroughPassing;WeightedPass;PinpointCrossing;OutsideCurler;Rabona;NoLookPass;LowLoftedPass;GKLowPunt;GKHighPunt;LongThrow;GKLongThrow;PenaltySpecialist;GKPenaltySaver;Gamesmanship;ManMarking;TrackBack;Interception;AcrobaticClear;Captaincy;SuperSub;FightingSpirit;Celebration1;Celebration2;DribblingHunching;DribblingArmMove.;RunningHunching;RunningArmMovement;CornerKicks;FreeKicks;PenaltyKick;DribbleMotion;YouthClub;OwnerClub;ContractUntil;LoanUntil;MarketValue;NationalCaps;Legend;Hand;WinnerGoldenBall;EditName;EditBasics;EditPosition;EditPositions;EditAbilities;EditPlayerSkills;EditPlayingStyle;EditCOMPlayingStyles;EditMovements;Edit1;Edit2;Edit3;Edit4;Edit5;Edit6;Edit7;Value1;Value2;Value3;Value2020_1;Value2020_2;Appearance;ListBoots;ListGloves;InEditFile;OverallStats
44840;V. van Dijk;Virgil van Dijk;VIRGIL;VIRGIL;-1;224;139;193;92;34;False;15;1;0;2;0;0;0;0;0;0;0;0;0;0;0;62;84;73;81;85;80;63;89;68;65;79;75;83;83;90;81;82;89;87;81;40;40;40;40;40;3;3;5;1;7;2;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;True;False;True;True;True;False;True;3;0;3;8;3;8;1;7;1;1;0;0;30/6/2027 00:00:00;1/1/0001 00:00:00;250000;56;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;2051;0;False;87
162622;G. Leoni;Giovanni Leoni;LEONI;LEONI;-1;215;0;196;82;19;False;9;1;0;2;0;0;0;0;0;0;0;0;0;0;0;52;72;61;67;74;69;58;79;55;54;75;72;66;71;79;77;76;77;78;74;40;40;40;40;40;2;2;5;1;7;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;0;0;1;1;1;1;1;1;1;1;2320;0;30/6/2031 00:00:00;1/1/0001 00:00:00;300000;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;0;0;False;73
116543;A. Mac Allister;Alexis Mac Allister;MAC ALLISTER;MAC ALLISTER;-1;144;0;176;72;27;False;14;5;0;0;0;0;2;2;0;0;2;0;0;0;0;74;85;77;85;83;84;77;68;78;81;74;77;84;75;74;77;85;66;79;86;40;40;40;40;40;2;3;5;1;7;2;False;False;False;True;False;False;True;False;False;False;False;False;False;True;False;True;False;True;False;False;False;False;False;False;True;True;True;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;True;False;False;False;False;58;0;2;1;2;1;3;12;1;1;1236;0;30/6/2028 00:00:00;1/1/0001 00:00:00;800000;31;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;1083;0;False;85
101028;A. Robertson;Andrew Robertson;ROBERTSON;ROBERTSON;-1;232;0;178;66;31;True;11;2;0;0;2;0;0;0;2;0;0;0;0;0;0;65;78;71;74;82;79;62;71;70;82;79;78;79;74;73;76;81;68;75;72;40;40;40;40;40;1;2;4;1;7;3;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;True;False;False;False;True;False;False;True;False;False;False;False;True;False;True;True;False;False;True;13;0;5;4;5;4;3;14;1;1;0;179;30/6/2027 00:00:00;30/6/2026 00:00:00;70000;84;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;2071;0;False;78
157165;S. Bajcetic;Stefan Bajčetić;BAJCETIC;BAJCETIC;-1;236;303;185;74;21;False;15;4;0;1;0;0;2;1;0;0;0;0;0;0;0;61;78;73;71;75;73;63;73;59;65;76;77;71;73;71;73;77;67;76;79;40;40;40;40;40;2;2;4;1;6;2;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;20;0;1;1;1;1;1;1;1;1;103;0;30/6/2027 00:00:00;1/1/0001 00:00:00;90000;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;0;0;False;75
114235;F. Chiesa;Federico Chiesa;CHIESA;CHIESA;-1;215;0;175;70;28;False;4;10;0;0;0;0;0;0;2;2;0;2;2;2;2;76;81;85;77;79;76;75;61;69;76;85;83;84;66;74;75;72;54;57;65;40;40;40;40;40;4;3;4;1;7;2;True;True;False;True;False;False;True;False;True;False;False;False;False;True;False;False;False;True;False;True;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;True;122;0;2;2;1;5;1;1;1;2;124;0;30/6/2028 00:00:00;1/1/0001 00:00:00;150000;51;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;2022;0;False;80
130319;D. Szoboszlai;Dominik Szoboszlai;SZOBOSZLAI;SZOBOSZLAI;-1;212;0;187;74;25;False;7;8;0;0;0;1;0;2;2;2;2;2;2;1;0;80;86;79;85;84;86;76;67;83;82;86;81;88;68;71;82;89;59;68;77;40;40;40;40;40;3;3;6;1;7;2;True;True;False;True;True;False;True;False;True;True;False;False;False;False;True;False;False;True;False;True;False;False;True;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;110;0;1;3;3;8;1;16;1;1;1586;0;30/6/2028 00:00:00;1/1/0001 00:00:00;1000000;32;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;2022;0;False;86
139679;H. Ekitiké;Hugo Ekitiké;EKITIKE;EKITIKE;-1;208;50;190;76;23;False;1;12;0;0;0;0;0;0;0;0;0;1;0;1;2;86;75;82;78;74;69;82;76;72;73;79;77;81;76;74;79;78;58;61;73;40;40;40;40;40;3;3;6;1;6;1;False;False;False;True;False;False;True;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;14;0;2;1;3;8;1;1;1;3;0;0;30/6/2031 00:00:00;1/1/0001 00:00:00;900000;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;71;0;False;83
123225;C. Jones;Curtis Jones;JONES;JONES;-1;204;0;185;75;24;False;6;5;0;0;0;1;0;2;1;0;2;1;0;0;0;68;84;78;83;86;83;71;64;70;75;76;79;77;68;72;80;83;57;76;81;40;40;40;40;40;1;3;5;1;6;3;True;True;False;True;True;False;True;False;False;False;False;False;False;False;False;True;False;True;False;True;False;False;True;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;132;0;5;7;1;3;3;5;1;2;103;0;30/6/2027 00:00:00;1/1/0001 00:00:00;400000;5;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;71;0;False;82
137924;F. Wirtz;Florian Wirtz;WIRTZ;WIRTZ;-1;210;0;177;69;22;False;18;8;0;0;0;0;0;1;1;1;2;2;2;1;1;84;85;87;83;84;86;77;66;73;78;83;82;79;71;69;81;82;55;64;75;40;40;40;40;40;2;3;5;1;7;1;True;True;False;True;True;False;False;True;True;False;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;True;True;True;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;123;0;1;10;2;1;4;14;5;1;128;0;30/6/2030 00:00:00;1/1/0001 00:00:00;1100000;35;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;1054;0;False;86
174884;K. Morrison;Kieran Morrison;MORRISON;MORRISON;-1;225;204;183;76;19;True;4;10;0;0;0;0;0;2;1;2;2;1;2;0;0;67;78;80;73;73;69;66;53;67;72;73;78;74;64;69;77;70;50;54;66;40;40;40;40;40;2;2;5;1;5;2;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;1;1;1;1;1;1;1;1;103;0;30/6/2026 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;0;0;False;71
127069;R. Gravenberch;Ryan Gravenberch;GRAVENBERCH;GRAVENBERCH;-1;224;139;190;77;23;False;7;4;0;0;0;0;2;2;0;0;0;0;0;0;0;68;83;80;78;82;83;68;73;74;77;77;78;82;75;78;81;83;71;80;82;40;40;40;40;40;2;2;6;1;7;2;False;False;False;False;True;False;True;False;True;False;True;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;90;0;3;1;1;4;1;16;1;3;116;0;30/6/2032 00:00:00;1/1/0001 00:00:00;900000;18;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;1075;0;False;85
142252;K. Gordon;Kaide Gordon;GORDON;GORDON;-1;204;122;173;75;21;True;4;10;0;0;0;0;0;0;1;1;1;2;2;1;1;66;76;76;68;68;65;70;61;68;67;82;81;69;62;59;64;72;56;60;73;40;40;40;40;40;2;2;4;1;5;2;False;True;True;True;False;False;True;False;False;False;False;False;False;False;False;True;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;0;0;3;4;1;7;1;1;1;1;103;0;30/6/2026 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;73;0;False;71
140768;R. Williams;Rhys Williams;R.WILLIAMS;R.WILLIAMS;-1;204;122;195;73;24;False;15;1;0;2;0;0;0;0;0;0;0;0;0;0;0;56;70;67;66;76;78;59;77;57;60;71;69;74;72;76;70;76;77;78;73;40;40;40;40;40;2;2;4;1;5;2;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;26;0;1;8;3;1;1;1;1;1;103;0;30/6/2026 00:00:00;1/1/0001 00:00:00;7000;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;66;0;False;72
