Id;Name;JapName;Shirt;ShirtNational;Commentary;Country;Country2;Height;Weight;Age;Foot;PlayingStyle;POS;GK;CB;LB;RB;DMF;CMF;LMF;RMF;AMF;LWF;RWF;SS;CF;OffensiveAwareness;BallControl;Dribbling;TightPossession;LowPass;LoftedPass;Finishing;Heading;PlaceKicking;Curl;Speed;Acceleration;KickingPower;Jump;PhysicalContact;Balance;Stamina;DefensiveAwareness;BallWinning;Aggression;GKAwareness;GKCatching;GKClearing;GKReflexes;GKReach;WeakFootUsage;WeakFootAcc;Form;InjuryResistance;Reputation;PlayingAttitude;Trickster;MazingRun;SpeedingBullet;IncisiveRun;LongBallExpert;EarlyCross;LongRanger;ScissorsFeint;DoubleTouch;FlipFlap;MarseilleTurn;Sombrero;CrossOverTurn;CutBehindAndTurn;ScotchMove;StepOnSkillcontrol;HeadingSpecial;LongRangeDrive;Chipshotcontrol;LongRangeShot;KnuckleShot;DippingShots;RisingShots;AcrobaticFinishing;HeelTrick;FirstTimeShot;OneTouchPass;ThroughPassing;WeightedPass;PinpointCrossing;OutsideCurler;Rabona;NoLookPass;LowLoftedPass;GKLowPunt;GKHighPunt;LongThrow;GKLongThrow;PenaltySpecialist;GKPenaltySaver;Gamesmanship;ManMarking;TrackBack;Interception;AcrobaticClear;Captaincy;SuperSub;FightingSpirit;Celebration1;Celebration2;DribblingHunching;DribblingArmMove.;RunningHunching;RunningArmMovement;CornerKicks;FreeKicks;PenaltyKick;DribbleMotion;YouthClub;OwnerClub;ContractUntil;LoanUntil;MarketValue;NationalCaps;Legend;Hand;WinnerGoldenBall;EditName;EditBasics;EditPosition;EditPositions;EditAbilities;EditPlayerSkills;EditPlayingStyle;EditCOMPlayingStyles;EditMovements;Edit1;Edit2;Edit3;Edit4;Edit5;Edit6;Edit7;Value1;Value2;Value3;Value2020_1;Value2020_2;Appearance;ListBoots;ListGloves;InEditFile;OverallStats
44104;J. Oblak;Jan Oblak;OBLAK;OBLAK;-1;235;0;188;87;32;False;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;40;67;58;61;71;75;40;69;64;56;67;64;86;84;83;76;84;55;59;62;95;96;91;97;93;1;1;7;3;8;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;False;False;False;False;False;False;False;False;0;0;1;5;1;1;1;1;1;1;191;0;30/6/2028 00:00:00;1/1/0001 00:00:00;300000;82;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;3053;301;False;88
131521;A. Caporale;Alessandro Caporale;CAPORALE;CAPORALE;-1;215;0;190;81;30;True;15;1;0;2;1;0;0;0;1;0;0;0;0;0;0;59;73;68;69;71;68;64;73;62;64;70;69;65;67;73;66;75;70;74;71;40;40;40;40;40;2;2;5;1;6;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;1;1;1;1;1;1;1;1;0;0;30/6/2026 00:00:00;1/1/0001 00:00:00;2000;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;0;0;False;68
130280;A. Kryvotsiuk;Anton Kryvotsiuk;KRYVOTSIUK;KRYVOTSIUK;-1;195;239;186;76;27;True;12;1;0;2;2;0;0;0;1;0;0;0;0;0;0;60;63;62;67;60;62;51;75;51;60;72;73;70;75;76;64;75;72;74;75;40;40;40;40;40;2;2;4;1;4;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;58;0;3;1;3;8;1;1;1;3;0;0;30/6/2027 00:00:00;1/1/0001 00:00:00;0;32;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;64;0;False;68
131067;J. Patiño;Juan Patiño;PATIÑO;PATIÑO;-1;148;0;183;79;27;True;7;2;0;0;2;0;0;0;1;0;0;0;0;0;0;61;70;71;72;69;66;59;64;62;67;72;75;68;64;70;65;74;61;68;78;40;40;40;40;40;2;2;4;1;5;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;1;1;1;1;1;1;1;1;2361;1262;30/6/2028 00:00:00;30/6/2026 00:00:00;4000;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;65;0;False;68
130626;J. Antonini;Juan Antonini;ANTONINI;ANTONINI;-1;144;0;187;78;26;False;9;1;0;2;0;0;1;2;0;0;1;0;0;0;0;57;62;58;58;60;61;52;73;56;58;70;72;68;79;76;66;74;73;71;76;40;40;40;40;40;2;2;5;1;4;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1;0;1;3;3;1;1;1;1;1;2730;0;30/6/2026 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;61;0;False;68
130935;S. Kurt;Sinan Kurt;SİNAN KURT;SİNAN KURT;-1;190;210;178;75;30;False;14;5;0;0;0;0;1;2;0;0;2;0;0;0;0;65;72;69;74;72;67;65;64;71;72;69;72;73;64;67;70;74;59;60;66;40;40;40;40;40;3;4;5;1;5;3;False;True;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;False;False;False;True;True;False;True;True;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;63;0;2;4;1;5;1;16;4;1;0;0;30/6/2026 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;66;0;False;68
130478;K. Fuller;Keysher Fuller;FULLER;FULLER;-1;112;0;183;78;31;False;11;3;0;0;1;2;0;0;0;1;0;0;0;0;0;61;65;66;62;64;65;59;68;60;66;78;73;73;66;75;63;77;67;63;76;40;40;40;40;40;2;2;5;1;4;2;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;55;0;1;5;1;1;1;1;1;1;0;0;30/6/2026 00:00:00;1/1/0001 00:00:00;1000;37;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;73;0;False;68
113911;F. Valverde;Federico Valverde;VALVERDE;F.VALVERDE;-1;152;236;182;78;27;False;7;5;0;0;0;1;0;2;0;2;0;0;2;0;0;72;85;79;86;86;88;74;67;77;78;88;89;87;80;81;83;89;73;81;78;40;40;40;40;40;3;3;6;2;8;1;False;True;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;False;True;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;43;0;3;8;3;3;1;18;1;1;1263;0;30/6/2029 00:00:00;1/1/0001 00:00:00;1200000;69;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;2022;0;False;88
133157;Pedri;Pedri;PEDRI;PEDRI;-1;236;0;174;63;23;False;14;5;0;0;0;0;0;2;0;0;1;1;0;0;0;73;91;88;90;93;89;78;58;69;78;77;80;77;72;68;81;87;59;76;77;40;40;40;40;40;4;3;7;1;8;2;True;True;False;True;True;False;False;False;True;False;False;True;False;True;False;True;False;False;False;True;False;False;False;False;False;True;True;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;110;0;1;7;3;3;6;1;1;1;364;0;30/6/2030 00:00:00;1/1/0001 00:00:00;1500000;36;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;1084;0;False;89
60512;Bruno Fernandes;Bruno Fernandes;B.FERNANDES;B.FERNANDES;-1;228;0;179;70;31;False;6;8;0;0;0;0;0;2;0;0;2;0;0;1;0;82;87;78;85;89;88;83;71;83;85;77;75;88;72;71;76;93;63;76;89;40;40;40;40;40;3;3;6;2;8;2;False;True;False;True;True;False;True;False;False;False;True;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;True;True;False;True;True;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;False;12;0;1;4;5;4;3;14;6;1;0;0;30/6/2027 00:00:00;1/1/0001 00:00:00;500000;85;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;2023;0;False;88
