Id;Name;JapName;Shirt;ShirtNational;Commentary;Country;Country2;Height;Weight;Age;Foot;PlayingStyle;POS;GK;CB;LB;RB;DMF;CMF;LMF;RMF;AMF;LWF;RWF;SS;CF;OffensiveAwareness;BallControl;Dribbling;TightPossession;LowPass;LoftedPass;Finishing;Heading;PlaceKicking;Curl;Speed;Acceleration;KickingPower;Jump;PhysicalContact;Balance;Stamina;DefensiveAwareness;BallWinning;Aggression;GKAwareness;GKCatching;GKClearing;GKReflexes;GKReach;WeakFootUsage;WeakFootAcc;Form;InjuryResistance;Reputation;PlayingAttitude;Trickster;MazingRun;SpeedingBullet;IncisiveRun;LongBallExpert;EarlyCross;LongRanger;ScissorsFeint;DoubleTouch;FlipFlap;MarseilleTurn;Sombrero;CrossOverTurn;CutBehindAndTurn;ScotchMove;StepOnSkillcontrol;HeadingSpecial;LongRangeDrive;Chipshotcontrol;LongRangeShot;KnuckleShot;DippingShots;RisingShots;AcrobaticFinishing;HeelTrick;FirstTimeShot;OneTouchPass;ThroughPassing;WeightedPass;PinpointCrossing;OutsideCurler;Rabona;NoLookPass;LowLoftedPass;GKLowPunt;GKHighPunt;LongThrow;GKLongThrow;PenaltySpecialist;GKPenaltySaver;Gamesmanship;ManMarking;TrackBack;Interception;AcrobaticClear;Captaincy;SuperSub;FightingSpirit;Celebration1;Celebration2;DribblingHunching;DribblingArmMove.;RunningHunching;RunningArmMovement;CornerKicks;FreeKicks;PenaltyKick;DribbleMotion;YouthClub;OwnerClub;ContractUntil;LoanUntil;MarketValue;NationalCaps;Legend;Hand;WinnerGoldenBall;EditName;EditBasics;EditPosition;EditPositions;EditAbilities;EditPlayerSkills;EditPlayingStyle;EditCOMPlayingStyles;EditMovements;Edit1;Edit2;Edit3;Edit4;Edit5;Edit6;Edit7;Value1;Value2;Value3;Value2020_1;Value2020_2;Appearance;ListBoots;ListGloves;InEditFile;OverallStats
1697;R. Santa Cruz;Roque Santa Cruz;SANTA CRUZ;SANTA CRUZ;-1;150;0;193;83;44;False;13;12;0;0;0;0;0;0;0;0;0;0;0;1;2;80;78;68;71;72;66;78;82;67;76;62;58;79;65;84;69;66;55;53;68;40;40;40;40;40;2;2;5;1;6;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;120;0;1;3;3;2;1;1;3;1;1261;0;30/6/2026 00:00:00;1/1/0001 00:00:00;2000;112;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;0;0;False;74
2489;E. Kawashima;Eiji Kawashima;KAWASHIMA;KAWASHIMA;-1;13;0;185;82;42;False;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;41;59;55;50;58;62;42;61;52;50;56;58;78;79;79;69;74;53;48;52;80;78;81;82;77;2;2;5;3;6;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;0;0;2;1;1;1;1;1;1;1;0;0;30/6/2026 00:00:00;1/1/0001 00:00:00;500;95;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;3053;301;False;73
4039;Fábio;Fábio;FÁBIO;FÁBIO;-1;146;215;188;92;45;False;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;40;59;49;49;54;59;40;59;55;40;58;59;69;74;74;66;70;60;46;64;87;86;81;84;82;2;2;6;3;6;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;True;False;False;False;False;False;False;False;False;0;0;1;1;1;1;1;1;1;1;0;0;30/6/2027 00:00:00;1/1/0001 00:00:00;1000;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;73;101;False;76
4522;Cristiano Ronaldo;Cristiano Ronaldo;RONALDO;RONALDO;-1;228;0;187;84;40;False;1;12;0;0;0;0;0;0;0;0;0;2;2;1;2;83;84;76;82;77;80;86;91;74;77;75;73;90;84;79;74;75;46;53;55;40;40;40;40;40;3;4;6;1;8;2;True;True;True;True;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;True;True;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;True;109;0;3;4;5;4;1;8;3;3;193;0;30/6/2027 00:00:00;1/1/0001 00:00:00;120000;218;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;2024;0;False;84
4882;J. Milner;James Milner;MILNER;MILNER;-1;204;0;175;70;39;False;7;5;0;0;0;2;1;2;0;1;0;0;0;0;0;68;78;71;76;80;81;70;64;71;77;65;68;82;74;80;76;75;76;79;80;40;40;40;40;40;2;3;5;1;6;1;False;False;False;True;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;True;False;False;False;False;True;False;False;False;True;True;True;False;False;True;62;0;1;7;1;3;5;14;3;1;104;0;30/6/2026 00:00:00;1/1/0001 00:00:00;7500;61;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;2071;0;False;77
5226;Y. Nakashima;Yuki Nakashima;YUKI;YUKI;-1;13;0;175;76;41;False;13;12;0;0;0;0;0;0;0;0;0;0;0;1;2;69;68;64;72;67;68;71;73;64;59;59;66;73;67;69;70;62;47;62;67;40;40;40;40;40;2;2;4;1;4;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;1;1;2;1;1;1;1;1;0;0;31/1/2026 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;0;0;False;65
5308;T. Sugeno;Takanori Sugeno;SUGENO;SUGENO;-1;13;0;178;75;41;False;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;44;67;69;65;67;68;45;62;55;58;58;61;74;79;72;75;75;61;57;50;78;74;77;77;77;2;2;6;3;4;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;True;0;0;1;1;1;1;1;1;1;1;0;0;30/6/2026 00:00:00;1/1/0001 00:00:00;500;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;0;0;False;70
5518;Raúl Albiol;Raúl Albiol;R.ALBIOL;R.ALBIOL;-1;236;0;190;82;40;False;15;1;0;2;0;0;0;0;0;0;0;0;0;0;0;54;75;64;74;80;79;66;81;57;59;62;60;74;76;81;85;64;79;80;78;40;40;40;40;40;2;2;4;1;6;1;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;True;False;False;False;True;10;0;1;2;2;3;1;1;1;1;110;0;30/6/2026 00:00:00;1/1/0001 00:00:00;8000;58;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;1063;0;False;75
5584;N. Mäenpää;Niki Mäenpää;MÄENPÄÄ;MÄENPÄÄ;-1;207;0;187;85;40;False;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;41;51;48;51;50;52;42;69;47;45;58;56;75;66;77;70;76;45;42;54;80;81;75;81;79;2;2;5;3;4;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;90;0;1;1;1;1;1;1;1;1;182;0;30/6/2026 00:00:00;1/1/0001 00:00:00;500;27;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;82;901;False;71
5778;I. Akinfeev;Igor Akinfeev;AKINFEEV;AKINFEEV;-1;230;0;187;82;39;False;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;40;60;49;50;64;67;40;60;55;60;62;66;82;75;80;73;77;64;42;55;90;83;89;91;89;2;2;7;3;6;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;True;False;False;False;False;False;True;False;False;52;0;1;8;1;8;1;1;1;1;0;0;30/6/2027 00:00:00;1/1/0001 00:00:00;10000;111;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;2071;211;False;81
