ID_Pais: 1, Jugador: F. VERGARA, Pais: 	Afganistan
ID_Pais: 2, Jugador: J. JOHN, Pais: Bahrain
ID_Pais: 3, Jugador: A. MCDOWELL, Pais: Bangladesh
ID_Pais: 5, Jugador: JEFRI BOLKIAH, Pais: Brunéi
ID_Pais: 7, Jugador: ZHENG ZHI, Pais: China
ID_Pais: 8, Jugador: TAN CHUN LOK, Pais: Hong Kong
ID_Pais: 9, Jugador: A. VINER, Pais: India
ID_Pais: 10, Jugador: T. HAYE, Pais: Indonesia
ID_Pais: 11, Jugador: E. HAJSAFI, Pais: Irán
ID_Pais: 12, Jugador: J. HASSAN, Pais: Irak
ID_Pais: 13, Jugador: H. NAKATA, Pais: Japón
ID_Pais: 14, Jugador: O. HANI, Pais: Jordania
ID_Pais: 15, Jugador: LEE YONG-JICK, Pais: Corea del Norte
ID_Pais: 16, Jugador: HONG MYUNG-BO, Pais: Corea del Sur
ID_Pais: 17, Jugador: B. AL MUTAWA, Pais: Kuwait
ID_Pais: 18, Jugador: O. NAMMAKHOT, Pais: Laos
ID_Pais: 19, Jugador: N. MATAR, Pais: Líbano
ID_Pais: 20, Jugador: DAVID KONG, Pais: Macao
ID_Pais: 21, Jugador: A. HORNE, Pais: Malasia
ID_Pais: 24, Jugador: AUNG THU, Pais: Myanmar
ID_Pais: 26, Jugador: F. AL RASHIDI, Pais: Omán
ID_Pais: 28, Jugador: ODAY DABAGH, Pais: Palestina
ID_Pais: 29, Jugador: G. HOLTMANN, Pais: Filipinas
ID_Pais: 30, Jugador: YOUSEF HASSAN, Pais: Qatar
ID_Pais: 31, Jugador: S. ABDULHAMID, Pais: Arabia Saudita
ID_Pais: 32, Jugador: B. KHAIZAN, Pais: Singapur
ID_Pais: 34, Jugador: A. RAMADAN, Pais: Siria
ID_Pais: 36, Jugador: S. TEDSUNGNOEN, Pais: Tailandia
ID_Pais: 37, Jugador: A. KHASEIF, Pais: Emiratos Árabes Unidos
ID_Pais: 38, Jugador: S. CAWKWELL, Pais: Vietnam
ID_Pais: 39, Jugador: ADEL AL CHADLI, Pais: Yemen
ID_Pais: 40, Jugador: B. ALMAZBEKOV, Pais: Kirguistán
ID_Pais: 41, Jugador: K. TOIROV, Pais: Tayikistán
ID_Pais: 42, Jugador: R. HUMPHRY, Pais: Turkmekistan
ID_Pais: 44, Jugador: I. BELFODIL, Pais: Argelia
ID_Pais: 45, Jugador: ZINI, Pais: Angola
ID_Pais: 46, Jugador: C. SOUKOU, Pais: Benín
ID_Pais: 48, Jugador: J. PITROIPA, Pais: Burkina Faso
ID_Pais: 49, Jugador: S. BERAHINO, Pais: Burundi
ID_Pais: 50, Jugador: P. M'BOMA, Pais: Camerún
ID_Pais: 51, Jugador: B. TEIXEIRA, Pais: Cabo Verde
ID_Pais: 52, Jugador: S. YATÉKÉ, Pais: República Centroafricana
ID_Pais: 53, Jugador: C. NINGA, Pais: Chad
ID_Pais: 54, Jugador: E. MOHAMED BEN, Pais: Comoras
ID_Pais: 55, Jugador: M. CESTOR, Pais: Congo
ID_Pais: 56, Jugador: A. KONÉ, Pais: Costa de Marfil
ID_Pais: 58, Jugador: A. FATHY, Pais: Egipto
ID_Pais: 59, Jugador: N. KATA, Pais: Guinea Ecuatorial
ID_Pais: 62, Jugador: A. MFA MEZUI, Pais: Gabón
ID_Pais: 63, Jugador: S. JARJU, Pais: Gambia
ID_Pais: 64, Jugador: A. GYAN, Pais: Ghana
ID_Pais: 65, Jugador: I. TRAORÉ, Pais: Guinea
ID_Pais: 66, Jugador: JORGINHO, Pais: Guinea-Bisáu
ID_Pais: 67, Jugador: M. OLUNGA, Pais: Kenia
ID_Pais: 69, Jugador: G. WEAH, Pais: Liberia
ID_Pais: 70, Jugador: H. ELHOUNI, Pais: Libia
ID_Pais: 71, Jugador: A. ANICET, Pais: Madagascar
ID_Pais: 72, Jugador: C. PETRO, Pais: Malaui
ID_Pais: 73, Jugador: M. CAMARA, Pais: Malí
ID_Pais: 74, Jugador: I. COULIBALY, Pais: Mauritania
ID_Pais: 75, Jugador: L. ROSE, Pais: Mauricio
ID_Pais: 76, Jugador: K. EL AHMADI, Pais: Marruecos
ID_Pais: 77, Jugador: SIMAO MATE, Pais: Mozambique
ID_Pais: 78, Jugador: R. NYAMBE, Pais: Namibia
ID_Pais: 79, Jugador: A. MOUMOUNI, Pais: Níger
ID_Pais: 80, Jugador: J. OKOCHA, Pais: Nigeria
ID_Pais: 81, Jugador: D. BIZIMANA, Pais: Ruanda
ID_Pais: 82, Jugador: LUÍS LEAL, Pais: Santo Tomé y Príncipe
ID_Pais: 83, Jugador: I. JAKOBS, Pais: Senegal
ID_Pais: 85, Jugador: A. BANGURA, Pais: Sierra Leona
ID_Pais: 87, Jugador: Q. FORTUNE, Pais: Sudáfrica
ID_Pais: 89, Jugador: R. WILDHABER, Pais: Sudán del Sur
ID_Pais: 90, Jugador: N. MIROSHI, Pais: Tanzania
ID_Pais: 91, Jugador: I. BEBOU, Pais: Togo
ID_Pais: 92, Jugador: M. ALI YAÂKOUBI, Pais: Túnez
ID_Pais: 93, Jugador: U. IKPEAZU, Pais: Uganda
ID_Pais: 94, Jugador: B. MWILA, Pais: Zambia
ID_Pais: 95, Jugador: C. NHAMOINESU, Pais: Zimbabue
ID_Pais: 98, Jugador: M. TCHIBOTA, Pais: RD Congo
